table_name	row_count
__alembic_version__	0043_add_io_signal_plc_range_fields
__total_exact_rows__	4722
access_spaces	10
alembic_version	1
assemblies	2
assembly_items	3
attachments	0
audit_logs	1000
cabinet_files	0
cabinet_items	15
cabinets	388
data_types	31
digital_twin_documents	2
equipment_categories	367
equipment_movements	20
equipment_network_interfaces	7
equipment_types	1377
field_equipments	36
io_signals	90
io_signals_legacy	0
ip_address_audit_logs	6
ip_addresses	42
locations	344
main_equipment	130
manufacturers	201
measurement_units	105
network_topology_documents	3
personnel	3
personnel_competencies	0
personnel_schedule_templates	0
personnel_trainings	0
personnel_yearly_schedule_assignments	226
personnel_yearly_schedule_events	0
pid_processes	7
role_definitions	3
role_space_permissions	30
serial_map_documents	7
signal_types	18
subnets	13
user_sessions	227
users	2
vlans	2
warehouse_items	3
warehouses	1
